year,country,energy_consumption
2024,PK,
2023,PK,414.952130205765
2022,PK,418.447652844549
2021,PK,465.115862856144
2020,PK,454.338436216576
2019,PK,431.604754942186
2018,PK,453.603126548778
2017,PK,456.107326373589
2016,PK,446.915365965869
2015,PK,437.198223010365
2014,PK,433.449973838963
2013,PK,421.580013785875
2012,PK,419.546153206932
2011,PK,422.842537376111
2010,PK,429.327792495327
2009,PK,433.272314472197
2008,PK,437.835189001934
2007,PK,457.205362427423
2006,PK,443.903367754097
2005,PK,436.061866708612
2004,PK,431.672759795812
2003,PK,412.836751547714
2002,PK,404.334238651861
2001,PK,407.99646563704
2000,PK,411.549930374513
1999,PK,410.681455271548
1998,PK,399.272943328572
1997,PK,402.965782669408
1996,PK,403.99573108234
1995,PK,397.682408796608
1994,PK,392.525740918468
1993,PK,387.504827835984
1992,PK,379.579213707596
1991,PK,367.121771650235
1990,PK,370.756577158868
1989,PK,
1988,PK,
1987,PK,
1986,PK,
1985,PK,
1984,PK,
1983,PK,
1982,PK,
1981,PK,
1980,PK,
1979,PK,
1978,PK,
1977,PK,
1976,PK,
1975,PK,
1974,PK,
1973,PK,
1972,PK,
1971,PK,
1970,PK,
1969,PK,
1968,PK,
1967,PK,
1966,PK,
1965,PK,
1964,PK,
1963,PK,
1962,PK,
1961,PK,
1960,PK,
2024,1W,
2023,1W,1866.16463634635
2022,1W,1852.38308967766
2021,1W,1852.31743577757
2020,1W,1762.82657385656
2019,1W,1829.6332990821
2018,1W,1827.57958060532
2017,1W,1804.56697466577
2016,1W,1785.95703176022
2015,1W,1790.51093398013
2014,1W,1810.23611697449
2013,1W,1811.32054159306
2012,1W,1804.27859912268
2011,1W,1804.53522890018
2010,1W,1797.68456153472
2009,1W,1723.0132731013
2008,1W,1760.89364270519
2007,1W,1759.78833317513
2006,1W,1735.54645385898
2005,1W,1708.69304493396
2004,1W,1682.95044129212
2003,1W,1635.58102498736
2002,1W,1597.33297287626
2001,1W,1584.45851392594
2000,1W,1590.60086250942
1999,1W,1580.06579744501
1998,1W,1569.01390662929
1997,1W,1585.08421246955
1996,1W,1592.76675714077
1995,1W,1577.46703069054
1994,1W,1564.17782925254
1993,1W,1576.71227376891
1992,1W,1584.40266628764
1991,1W,1611.29609330508
1990,1W,1626.28944750339
1989,1W,
1988,1W,
1987,1W,
1986,1W,
1985,1W,
1984,1W,
1983,1W,
1982,1W,
1981,1W,
1980,1W,
1979,1W,
1978,1W,
1977,1W,
1976,1W,
1975,1W,
1974,1W,
1973,1W,
1972,1W,
1971,1W,
1970,1W,
1969,1W,
1968,1W,
1967,1W,
1966,1W,
1965,1W,
1964,1W,
1963,1W,
1962,1W,
1961,1W,
1960,1W,
