"year","unemployment","labor_force_participation","urbanization","internet_penetration","energy_consumption","fdi_inflows"
1960,5.11939576855541,63.6426197667721,34.2335712808983,15.6,1626.28944750339,0.49935747999088
1961,5.11939576855541,63.6426197667721,34.5109401402331,15.6,1626.28944750339,0.49935747999088
1962,5.11939576855541,63.6426197667721,34.3999791158984,15.6,1626.28944750339,0.49935747999088
1963,5.11939576855541,63.6426197667721,34.5568545193136,15.6,1626.28944750339,0.49935747999088
1964,5.11939576855541,63.6426197667721,35.1475913528482,15.6,1626.28944750339,0.49935747999088
1965,5.11939576855541,63.6426197667721,35.3540652249105,15.6,1626.28944750339,0.49935747999088
1966,5.11939576855541,63.6426197667721,35.5802943060325,15.6,1626.28944750339,0.49935747999088
1967,5.11939576855541,63.6426197667721,35.8127958285919,15.6,1626.28944750339,0.49935747999088
1968,5.11939576855541,63.6426197667721,36.0363793020656,15.6,1626.28944750339,0.49935747999088
1969,5.11939576855541,63.6426197667721,36.2526224316664,15.6,1626.28944750339,0.49935747999088
1970,5.11939576855541,63.6426197667721,36.4461165529702,15.6,1626.28944750339,0.49935747999088
1971,5.11939576855541,63.6426197667721,36.6530986177124,15.6,1626.28944750339,0.47160908122335
1972,5.11939576855541,63.6426197667721,36.8811534330908,15.6,1626.28944750339,0.427703679123939
1973,5.11939576855541,63.6426197667721,37.1623781945284,15.6,1626.28944750339,0.475882518377907
1974,5.11939576855541,63.6426197667721,37.4075387407192,15.6,1626.28944750339,0.4927354121781
1975,5.11939576855541,63.6426197667721,37.6972178438629,15.6,1626.28944750339,0.474756415414076
1976,5.11939576855541,63.6426197667721,37.9936871620939,15.6,1626.28944750339,0.345681003166903
1977,5.11939576855541,63.6426197667721,38.293782668987,15.6,1626.28944750339,0.402123572862544
1978,5.11939576855541,63.6426197667721,38.6396848091351,15.6,1626.28944750339,0.419985788667919
1979,5.11939576855541,63.6426197667721,39.1335929989215,15.6,1626.28944750339,0.443519896465599
1980,5.11939576855541,63.6426197667721,39.4792158592455,15.6,1626.28944750339,0.500096814682899
1981,5.11939576855541,63.6426197667721,39.8681409337576,15.6,1626.28944750339,0.628197867137675
1982,5.11939576855541,63.6426197667721,40.1524898065398,15.6,1626.28944750339,0.591156295289589
1983,5.11939576855541,63.6426197667721,40.5674127606209,15.6,1626.28944750339,0.468972388754168
1984,5.11939576855541,63.6426197667721,41.0571520713412,15.6,1626.28944750339,0.503143196974452
1985,5.11939576855541,63.6426197667721,41.3901446799267,15.6,1626.28944750339,0.360920044771483
1986,5.11939576855541,63.6426197667721,41.7515581168244,15.6,1626.28944750339,0.562473911950108
1987,5.11939576855541,63.6426197667721,42.1107996303496,15.6,1626.28944750339,0.840663502778287
1988,5.11939576855541,63.6426197667721,42.4005795915325,15.6,1626.28944750339,0.895163501078323
1989,5.11939576855541,63.6426197667721,42.6651091441512,15.6,1626.28944750339,1.02982203409586
1990,5.11939576855541,63.6426197667721,42.831366480837,15.6,1626.28944750339,1.08933150514875
1991,5.11939576855541,63.6426197667721,43.1658030298652,15.6,1611.29609330508,0.760381595839734
1992,5.27548969894175,63.6426197667721,43.4485670007024,15.6,1584.40266628764,0.735267346783473
1993,5.54359975807061,63.6426197667721,43.7261715121239,15.6,1576.71227376891,0.90062616632266
1994,5.78918170693904,63.6426197667721,44.0155474952941,15.6,1564.17782925254,0.998139375916319
1995,5.91942696026279,63.6426197667721,44.3120958067333,15.6,1577.46703069054,1.16666073530644
1996,5.98370073084904,63.6426197667721,44.8034677559692,15.6,1592.76675714077,1.30659528113146
1997,6.01013695494246,63.6426197667721,45.3022073448282,15.6,1585.08421246955,1.6649422377285
1998,6.15906586247165,63.6426197667721,45.8009957179786,15.6,1569.01390662929,2.47824217578233
1999,6.27834886767265,63.6426197667721,46.292022501771,15.6,1580.06579744501,3.65050935184952
2000,6.11126625149596,63.6426197667721,46.8390607707809,15.6,1590.60086250942,4.60054634879253
2001,6.18980812535966,64.585432065387,47.3041676777483,15.6,1584.45851392594,2.65513203086615
2002,6.41180854857461,64.585432065387,47.8254042871885,15.6,1597.33297287626,2.13587760471071
2003,6.48390882464603,64.585432065387,48.3630051862397,15.6,1635.58102498736,1.85825915207826
2004,6.32969211241359,64.585432065387,48.8650001554705,15.6,1682.95044129212,2.22122545587228
2005,6.22389912094209,63.8858756995559,49.3577952569523,15.6,1708.69304493396,3.25827431954096
2006,5.97374019654838,63.8858756995559,49.8713307759176,17.2,1735.54645385898,4.22386145705618
2007,5.77480901338889,63.8858756995559,50.4145418301197,20.2,1759.78833317513,5.27711961807479
2008,5.82404352868675,63.8858756995559,50.8792438409157,22.8,1760.89364270519,3.72354373179278
2009,6.40934094809211,64.2370268628651,51.3728789097588,25.3,1723.0132731013,2.42727008900625
2010,6.28092769649237,62.1722930211593,51.7589871197018,28.4,1797.68456153472,2.70554368320855
2011,6.14877677051057,63.5512741368609,52.4574472014951,30.9,1804.53522890018,3.15832912822297
2012,6.15180927283385,61.7230442091797,52.9169643228086,33.3,1804.27859912268,2.65497421440789
2013,6.09906293447201,64.2005105545583,53.4324285544528,35.3,1811.32054159306,2.65184947569052
2014,5.95720582647446,63.6357212667319,53.9080111998113,37.4,1810.23611697449,2.41581124855202
2015,5.99825160171964,64.310895618676,54.4246815745034,39.9,1790.51093398013,3.62167700808841
2016,5.97068694834666,63.8820492617293,54.8936424211134,43.6,1785.95703176022,3.53345706054221
2017,5.89788808678893,63.8820492617293,55.3184226450948,46.3,1804.56697466577,2.72530213852118
2018,5.75951966875999,60.2783682773467,55.7510358807325,49.4,1827.57958060532,1.23709166637342
2019,5.58822341975783,58.4455010364631,56.1393998135593,53.9,1829.6332990821,2.16244261600792
2020,6.58731449706782,58.4455010364631,56.442553264507,60.1,1762.82657385656,1.34331731043375
2021,6.0451914548011,58.4455010364631,56.8075140054202,63.8,1852.31743577757,2.53659303797299
2022,5.23426188470581,59.3637824887525,57.0703302851395,67,1852.38308967766,1.86511043214883
2023,4.84957114230342,59.3637824887525,57.3099507018106,69.2,1866.16463634635,0.862233908070818
2024,4.80587275250158,59.3637824887525,57.5634797111357,71.2,1866.16463634635,1.32595274334775
1960,0.596,32.359,22.2996984962747,0,370.756577158868,0.229369018449875
1961,0.596,32.359,22.6321270948417,0,370.756577158868,0.229369018449875
1962,0.596,32.359,22.9342151711049,0,370.756577158868,0.229369018449875
1963,0.596,32.359,23.2081807037649,0,370.756577158868,0.229369018449875
