year,country,internet_penetration
2024,PK,57.253
2023,PK,
2022,PK,
2021,PK,
2020,PK,18.935
2019,PK,17.070901719916
2018,PK,15.34000015
2017,PK,13.77999973
2016,PK,12.385446763381
2015,PK,11.0
2014,PK,10.0
2013,PK,9.0
2012,PK,8.100000381
2011,PK,8.0
2010,PK,8.0
2009,PK,7.5
2008,PK,7.0
2007,PK,6.800000191
2006,PK,6.5
2005,PK,6.332300186
2004,PK,6.16432098534156
2003,PK,5.04115812592502
2002,PK,2.57742673683831
2001,PK,1.31855077925626
2000,PK,
1999,PK,0.0554
1998,PK,0.0439
1997,PK,0.0275
1996,PK,0.00299
1995,PK,0.000123
1994,PK,
1993,PK,
1992,PK,
1991,PK,
1990,PK,0.0
1989,PK,
1988,PK,
1987,PK,
1986,PK,
1985,PK,
1984,PK,
1983,PK,
1982,PK,
1981,PK,
1980,PK,
1979,PK,
1978,PK,
1977,PK,
1976,PK,
1975,PK,
1974,PK,
1973,PK,
1972,PK,
1971,PK,
1970,PK,
1969,PK,
1968,PK,
1967,PK,
1966,PK,
1965,PK,
1964,PK,
1963,PK,
1962,PK,
1961,PK,
1960,PK,
2024,1W,71.2
2023,1W,69.2
2022,1W,67.0
2021,1W,63.8
2020,1W,60.1
2019,1W,53.9
2018,1W,49.4
2017,1W,46.3
2016,1W,43.6
2015,1W,39.9
2014,1W,37.4
2013,1W,35.3
2012,1W,33.3
2011,1W,30.9
2010,1W,28.4
2009,1W,25.3
2008,1W,22.8
2007,1W,20.2
2006,1W,17.2
2005,1W,15.6
2004,1W,
2003,1W,
2002,1W,
2001,1W,
2000,1W,
1999,1W,
1998,1W,
1997,1W,
1996,1W,
1995,1W,
1994,1W,
1993,1W,
1992,1W,
1991,1W,
1990,1W,
1989,1W,
1988,1W,
1987,1W,
1986,1W,
1985,1W,
1984,1W,
1983,1W,
1982,1W,
1981,1W,
1980,1W,
1979,1W,
1978,1W,
1977,1W,
1976,1W,
1975,1W,
1974,1W,
1973,1W,
1972,1W,
1971,1W,
1970,1W,
1969,1W,
1968,1W,
1967,1W,
1966,1W,
1965,1W,
1964,1W,
1963,1W,
1962,1W,
1961,1W,
1960,1W,
