year,country,labor_force_participation
2024,PK,
2023,PK,
2022,PK,
2021,PK,52.73
2020,PK,46.637
2019,PK,51.597
2018,PK,50.993
2017,PK,
2016,PK,48.929
2015,PK,52.026
2014,PK,50.997
2013,PK,51.45
2012,PK,48.627
2011,PK,50.775
2010,PK,50.997
2009,PK,50.535
2008,PK,50.084
2007,PK,50.045
2006,PK,50.032
2005,PK,46.56
2004,PK,50.732
2003,PK,
2002,PK,50.455
2001,PK,
2000,PK,50.407
1999,PK,
1998,PK,49.95
1997,PK,50.123
1996,PK,
1995,PK,48.361
1994,PK,49.148
1993,PK,49.196
1992,PK,49.684
1991,PK,49.684
1990,PK,49.345
1989,PK,32.2
1988,PK,49.34
1987,PK,
1986,PK,48.887
1985,PK,49.452
1984,PK,49.71
1983,PK,49.718
1982,PK,51.199
1981,PK,51.19
1980,PK,49.298
1979,PK,49.299
1978,PK,49.301
1977,PK,49.301
1976,PK,49.302
1975,PK,
1974,PK,
1973,PK,
1972,PK,29.957
1971,PK,
1970,PK,
1969,PK,
1968,PK,
1967,PK,
1966,PK,
1965,PK,
1964,PK,
1963,PK,
1962,PK,
1961,PK,32.359
1960,PK,
2024,1W,
2023,1W,
2022,1W,59.3637824887525
2021,1W,
2020,1W,
2019,1W,58.4455010364631
2018,1W,60.2783682773467
2017,1W,
2016,1W,63.8820492617293
2015,1W,64.310895618676
2014,1W,63.6357212667319
2013,1W,64.2005105545583
2012,1W,61.7230442091797
2011,1W,63.5512741368609
2010,1W,62.1722930211593
2009,1W,64.2370268628651
2008,1W,
2007,1W,
2006,1W,
2005,1W,63.8858756995559
2004,1W,
2003,1W,
2002,1W,
2001,1W,64.585432065387
2000,1W,63.6426197667721
1999,1W,
1998,1W,
1997,1W,
1996,1W,
1995,1W,
1994,1W,
1993,1W,
1992,1W,
1991,1W,
1990,1W,
1989,1W,
1988,1W,
1987,1W,
1986,1W,
1985,1W,
1984,1W,
1983,1W,
1982,1W,
1981,1W,
1980,1W,
1979,1W,
1978,1W,
1977,1W,
1976,1W,
1975,1W,
1974,1W,
1973,1W,
1972,1W,
1971,1W,
1970,1W,
1969,1W,
1968,1W,
1967,1W,
1966,1W,
1965,1W,
1964,1W,
1963,1W,
1962,1W,
1961,1W,
1960,1W,
