year,country,fdi_inflows
2024,PK,0.7166886452434
2023,PK,0.608281270820624
2022,PK,0.389980753542853
2021,PK,0.616039439073827
2020,PK,0.684695289874347
2019,PK,0.696146480411465
2018,PK,0.487745750658143
2017,PK,0.735837049658425
2016,PK,0.821349998064174
2015,PK,0.557734356032139
2014,PK,0.695308116834202
2013,PK,0.515353849332245
2012,PK,0.343453048660945
2011,PK,0.575055145839944
2010,PK,1.02791108080423
2009,PK,1.24801305527951
2008,PK,2.68936656124595
2007,PK,3.03571933817685
2006,PK,2.63975006245443
2005,PK,1.51575083116461
2004,PK,0.845585701616171
2003,PK,0.475207711805665
2002,PK,0.843517300073237
2001,PK,0.38910658649849
2000,PK,0.309595026317044
1999,PK,0.84479500663461
1998,PK,0.813610045502484
1997,PK,1.14722858022912
1996,PK,1.45605449462756
1995,PK,1.19175194004056
1994,PK,0.805118941060125
1993,PK,0.672760011900901
1992,PK,0.688313624140135
1991,PK,0.566383737278731
1990,PK,0.612997661913938
1989,PK,0.524257200329788
1988,PK,0.484736838916137
1987,PK,0.387921173050002
1986,PK,0.33145270892202
1985,PK,0.421864139271513
1984,PK,0.1781923494967
1983,PK,0.102666735817458
1982,PK,0.207749628001959
1981,PK,0.384634937305679
1980,PK,0.269010726210538
1979,PK,0.29588069717029
1978,PK,0.181192853254975
1977,PK,0.100642225435154
1976,PK,0.0624277014069093
1975,PK,0.222605973934864
1974,PK,0.0449479012962248
1973,PK,-0.0626622414508386
1972,PK,0.180562617745505
1971,PK,0.00937567679313264
1970,PK,0.229369018449875
1969,PK,
1968,PK,
1967,PK,
1966,PK,
1965,PK,
1964,PK,
1963,PK,
1962,PK,
1961,PK,
1960,PK,
2024,1W,1.32595274334775
2023,1W,0.862233908070818
2022,1W,1.86511043214883
2021,1W,2.53659303797299
2020,1W,1.34331731043375
2019,1W,2.16244261600792
2018,1W,1.23709166637342
2017,1W,2.72530213852118
2016,1W,3.53345706054221
2015,1W,3.62167700808841
2014,1W,2.41581124855202
2013,1W,2.65184947569052
2012,1W,2.65497421440789
2011,1W,3.15832912822297
2010,1W,2.70554368320855
2009,1W,2.42727008900625
2008,1W,3.72354373179278
2007,1W,5.27711961807479
2006,1W,4.22386145705618
2005,1W,3.25827431954096
2004,1W,2.22122545587228
2003,1W,1.85825915207826
2002,1W,2.13587760471071
2001,1W,2.65513203086615
2000,1W,4.60054634879253
1999,1W,3.65050935184952
1998,1W,2.47824217578233
1997,1W,1.6649422377285
1996,1W,1.30659528113146
1995,1W,1.16666073530644
1994,1W,0.998139375916319
1993,1W,0.90062616632266
1992,1W,0.735267346783473
1991,1W,0.760381595839734
1990,1W,1.08933150514875
1989,1W,1.02982203409586
1988,1W,0.895163501078323
1987,1W,0.840663502778287
1986,1W,0.562473911950108
1985,1W,0.360920044771483
1984,1W,0.503143196974452
1983,1W,0.468972388754168
1982,1W,0.591156295289589
1981,1W,0.628197867137675
1980,1W,0.500096814682899
1979,1W,0.443519896465599
1978,1W,0.419985788667919
1977,1W,0.402123572862544
1976,1W,0.345681003166903
1975,1W,0.474756415414076
1974,1W,0.4927354121781
1973,1W,0.475882518377907
1972,1W,0.427703679123939
1971,1W,0.47160908122335
1970,1W,0.49935747999088
1969,1W,
1968,1W,
1967,1W,
1966,1W,
1965,1W,
1964,1W,
1963,1W,
1962,1W,
1961,1W,
1960,1W,
