year,country,unemployment
2024,PK,5.492
2023,PK,5.237
2022,PK,5.291
2021,PK,6.338
2020,PK,5.994
2019,PK,4.83
2018,PK,4.083
2017,PK,3.204
2016,PK,2.285
2015,PK,3.566
2014,PK,1.827
2013,PK,2.954
2012,PK,3.667
2011,PK,0.796
2010,PK,0.653
2009,PK,0.535
2008,PK,0.423
2007,PK,0.398
2006,PK,0.582
2005,PK,0.583
2004,PK,0.598
2003,PK,0.612
2002,PK,0.615
2001,PK,0.611
2000,PK,0.614
1999,PK,0.625
1998,PK,0.62
1997,PK,0.611
1996,PK,0.6
1995,PK,0.611
1994,PK,0.601
1993,PK,0.596
1992,PK,0.587
1991,PK,0.596
1990,PK,
1989,PK,
1988,PK,
1987,PK,
1986,PK,
1985,PK,
1984,PK,
1983,PK,
1982,PK,
1981,PK,
1980,PK,
1979,PK,
1978,PK,
1977,PK,
1976,PK,
1975,PK,
1974,PK,
1973,PK,
1972,PK,
1971,PK,
1970,PK,
1969,PK,
1968,PK,
1967,PK,
1966,PK,
1965,PK,
1964,PK,
1963,PK,
1962,PK,
1961,PK,
1960,PK,
2024,1W,4.80587275250158
2023,1W,4.84957114230342
2022,1W,5.23426188470581
2021,1W,6.0451914548011
2020,1W,6.58731449706782
2019,1W,5.58822341975783
2018,1W,5.75951966875999
2017,1W,5.89788808678893
2016,1W,5.97068694834666
2015,1W,5.99825160171964
2014,1W,5.95720582647446
2013,1W,6.09906293447201
2012,1W,6.15180927283385
2011,1W,6.14877677051057
2010,1W,6.28092769649237
2009,1W,6.40934094809211
2008,1W,5.82404352868675
2007,1W,5.77480901338889
2006,1W,5.97374019654838
2005,1W,6.22389912094209
2004,1W,6.32969211241359
2003,1W,6.48390882464603
2002,1W,6.41180854857461
2001,1W,6.18980812535966
2000,1W,6.11126625149596
1999,1W,6.27834886767265
1998,1W,6.15906586247165
1997,1W,6.01013695494246
1996,1W,5.98370073084904
1995,1W,5.91942696026279
1994,1W,5.78918170693904
1993,1W,5.54359975807061
1992,1W,5.27548969894175
1991,1W,5.11939576855541
1990,1W,
1989,1W,
1988,1W,
1987,1W,
1986,1W,
1985,1W,
1984,1W,
1983,1W,
1982,1W,
1981,1W,
1980,1W,
1979,1W,
1978,1W,
1977,1W,
1976,1W,
1975,1W,
1974,1W,
1973,1W,
1972,1W,
1971,1W,
1970,1W,
1969,1W,
1968,1W,
1967,1W,
1966,1W,
1965,1W,
1964,1W,
1963,1W,
1962,1W,
1961,1W,
1960,1W,
