year,country,urbanization
2024,PK,39.1734368360905
2023,PK,38.8191861872791
2022,PK,38.3740439760816
2021,PK,37.9333395514173
2020,PK,37.5080192948099
2019,PK,37.1091631735769
2018,PK,36.7478511550359
2017,PK,36.4351548223399
2016,PK,36.1597184900333
2015,PK,35.9017325715342
2014,PK,35.6595549759128
2013,PK,35.4315352494366
2012,PK,35.2160229383731
2011,PK,35.0113675889897
2010,PK,34.8159187475539
2009,PK,34.6280259603331
2008,PK,34.4460387735948
2007,PK,34.2683067336065
2006,PK,34.0931793866356
2005,PK,33.9190062789495
2004,PK,33.7441369568158
2003,PK,33.5669209665019
2002,PK,33.3857078542752
2001,PK,33.1988471664032
2000,PK,33.0046884491535
1999,PK,32.8015812487933
1998,PK,32.5871723893723
1997,PK,32.3647607033211
1996,PK,32.1402116675762
1995,PK,31.9144613917436
1994,PK,31.6870914038941
1993,PK,31.4576832320988
1992,PK,31.2258184044289
1991,PK,30.9910784489553
1990,PK,30.753044893749
1989,PK,30.5112992668812
1988,PK,30.2654230964229
1987,PK,30.014997910445
1986,PK,29.7596052370187
1985,PK,29.498826604215
1984,PK,29.2322435401049
1983,PK,28.9594375727595
1982,PK,28.6799902302499
1981,PK,28.3941608544266
1980,PK,28.0937593850085
1979,PK,27.7660298452131
1978,PK,27.4170952736025
1977,PK,27.0553105084198
1976,PK,26.6890303879083
1975,PK,26.3266097503112
1974,PK,25.9764034338718
1973,PK,25.6467662768333
1972,PK,25.3460347123231
1971,PK,25.0729653135682
1970,PK,24.8214615018356
1969,PK,24.5859718005957
1968,PK,24.3611185453889
1967,PK,24.1415240717555
1966,PK,23.921810715236
1965,PK,23.6966008113708
1964,PK,23.4605166957003
1963,PK,23.2081807037649
1962,PK,22.9342151711049
1961,PK,22.6321270948417
1960,PK,22.2996984962747
2024,1W,57.5634797111357
2023,1W,57.3099507018106
2022,1W,57.0703302851395
2021,1W,56.8075140054202
2020,1W,56.442553264507
2019,1W,56.1393998135593
2018,1W,55.7510358807325
2017,1W,55.3184226450948
2016,1W,54.8936424211134
2015,1W,54.4246815745034
2014,1W,53.9080111998113
2013,1W,53.4324285544528
2012,1W,52.9169643228086
2011,1W,52.4574472014951
2010,1W,51.7589871197018
2009,1W,51.3728789097588
2008,1W,50.8792438409157
2007,1W,50.4145418301197
2006,1W,49.8713307759176
2005,1W,49.3577952569523
2004,1W,48.8650001554705
2003,1W,48.3630051862397
2002,1W,47.8254042871885
2001,1W,47.3041676777483
2000,1W,46.8390607707809
1999,1W,46.292022501771
1998,1W,45.8009957179786
1997,1W,45.3022073448282
1996,1W,44.8034677559692
1995,1W,44.3120958067333
1994,1W,44.0155474952941
1993,1W,43.7261715121239
1992,1W,43.4485670007024
1991,1W,43.1658030298652
1990,1W,42.831366480837
1989,1W,42.6651091441512
1988,1W,42.4005795915325
1987,1W,42.1107996303496
1986,1W,41.7515581168244
1985,1W,41.3901446799267
1984,1W,41.0571520713412
1983,1W,40.5674127606209
1982,1W,40.1524898065398
1981,1W,39.8681409337576
1980,1W,39.4792158592455
1979,1W,39.1335929989215
1978,1W,38.6396848091351
1977,1W,38.293782668987
1976,1W,37.9936871620939
1975,1W,37.6972178438629
1974,1W,37.4075387407192
1973,1W,37.1623781945284
1972,1W,36.8811534330908
1971,1W,36.6530986177124
1970,1W,36.4461165529702
1969,1W,36.2526224316664
1968,1W,36.0363793020656
1967,1W,35.8127958285919
1966,1W,35.5802943060325
1965,1W,35.3540652249105
1964,1W,35.1475913528482
1963,1W,34.5568545193136
1962,1W,34.3999791158984
1961,1W,34.5109401402331
1960,1W,34.2335712808983
